Name,Category,Ingredients,Instructions,Garnish,Glass,Source
Temple Martini 6448,Twisted Classics,"Vodka, Jaljeera, Ginger Ale, Lime Juice","Combine Vodka, Jaljeera, and Ginger Ale in a shaker with ice. Shake well and strain into a Highball. Top with Curry Leaf.",Curry Leaf,Highball,Malaka Spice (Kolkata)
Temple Fizz 6449,Signature,"Rum, Kokum, Coconut Water, Lime Juice","Combine Rum, Kokum, and Coconut Water in a shaker with ice. Shake well and strain into a Wine Glass. Top with Orange Twist.",Orange Twist,Wine Glass,Malaka Spice (Mumbai)
Ruby Punch 6450,The Icons,"Brandy, Betel Leaf, Cranberry Juice, Lime Juice","Combine Brandy, Betel Leaf, and Cranberry Juice in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Lemon Peel.",Lemon Peel,Tiki Glass,PCO (Mumbai)
Desi Mojito 6451,The Icons,"Mezcal, Betel Leaf, Lime Juice, Lime Juice","Combine Mezcal, Betel Leaf, and Lime Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Coffee Beans.",Coffee Beans,Coupe,ZLB 23 (Kolkata)
Masala Martini 6452,South Inspired,"Tequila, Himalayan Honey, Ginger Ale, Lime Juice","Combine Tequila, Himalayan Honey, and Ginger Ale in a shaker with ice. Shake well and strain into a Coupe. Top with Dried Chilli.",Dried Chilli,Coupe,Jamming Goat (Bangalore)
Cool Smash 6453,Savory & Bold,"Vodka, Himalayan Honey, Tonic Water, Lime Juice","Combine Vodka, Himalayan Honey, and Tonic Water in a shaker with ice. Shake well and strain into a Copper Mug. Top with Rose Petals.",Rose Petals,Copper Mug,Nutcase Etc (Goa)
Rustic Collins 6454,Tropical,"Gin, Ginger, Cranberry Juice, Lime Juice","Combine Gin, Ginger, and Cranberry Juice in a shaker with ice. Shake well and strain into a Highball. Top with Dried Chilli.",Dried Chilli,Highball,Elephant & Co (Delhi)
Rustic Sour 6455,Savory & Bold,"Rum, Jaggery, Coconut Water, Lime Juice","Combine Rum, Jaggery, and Coconut Water in a shaker with ice. Shake well and strain into a Coupe. Top with Coffee Beans.",Coffee Beans,Coupe,Ekaa (Gurgaon)
Golden Fizz 6456,Savory & Bold,"Vodka, Masala Chai, Ginger Ale, Lime Juice","Combine Vodka, Masala Chai, and Ginger Ale in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Lemon Peel.",Lemon Peel,Tiki Glass,Hoots (Chennai)
Rustic Tonic 6457,Savory & Bold,"Vodka, Betel Leaf, Orange Juice, Lime Juice","Combine Vodka, Betel Leaf, and Orange Juice in a shaker with ice. Shake well and strain into a Highball. Top with Pineapple Wedge.",Pineapple Wedge,Highball,The Bombay Canteen (Chennai)
Desi Sling 6458,Himalayan Flavors,"Mezcal, Black Salt, Pineapple Juice, Lime Juice","Combine Mezcal, Black Salt, and Pineapple Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Curry Leaf.",Curry Leaf,Wine Glass,Conversation Room (Chennai)
Golden Martini 6459,Twisted Classics,"Brandy, Ginger, Coconut Water, Lime Juice","Combine Brandy, Ginger, and Coconut Water in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Cinnamon Stick.",Cinnamon Stick,Tiki Glass,BrewDog (Hyderabad)
Ruby Tonic 6460,Twisted Classics,"Rum, Indian Lime Pickle, Tonic Water, Lime Juice","Combine Rum, Indian Lime Pickle, and Tonic Water in a shaker with ice. Shake well and strain into a Coupe. Top with Pineapple Wedge.",Pineapple Wedge,Coupe,Slow Tide (Bangalore)
Jungle Fizz 6461,South Inspired,"Rum, Jaljeera, Tonic Water, Lime Juice","Combine Rum, Jaljeera, and Tonic Water in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Mint Sprig.",Mint Sprig,Tiki Glass,Ekaa (Mumbai)
Monsoon Punch 6462,Tropical,"Gin, Curry Leaves, Sugar Syrup, Lime Juice","Combine Gin, Curry Leaves, and Sugar Syrup in a shaker with ice. Shake well and strain into a Highball. Top with Mint Sprig.",Mint Sprig,Highball,Masque (Delhi)
Midnight Collins 6463,Tropical,"Gin, Filter Kaapi, Ginger Ale, Lime Juice","Combine Gin, Filter Kaapi, and Ginger Ale in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Mint Sprig.",Mint Sprig,Tiki Glass,Nutcase Etc (Delhi)
Golden Mule 6464,Tropical,"Mezcal, Kokum, Coconut Water, Lime Juice","Combine Mezcal, Kokum, and Coconut Water in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Orange Twist.",Orange Twist,Tiki Glass,Room One (Kolkata)
Desi Tonic 6465,The Icons,"Rum, Jaggery, Tonic Water, Lime Juice","Combine Rum, Jaggery, and Tonic Water in a shaker with ice. Shake well and strain into a Coupe. Top with Pineapple Wedge.",Pineapple Wedge,Coupe,Nutcase Etc (Delhi)
Royal Mule 6466,Signature,"Rum, Indian Lime Pickle, Pineapple Juice, Lime Juice","Combine Rum, Indian Lime Pickle, and Pineapple Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Lemon Peel.",Lemon Peel,Jam Jar,Slow Tide (Hyderabad)
Sunrise Sour 6467,Savory & Bold,"Mezcal, Himalayan Honey, Cranberry Juice, Lime Juice","Combine Mezcal, Himalayan Honey, and Cranberry Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Cinnamon Stick.",Cinnamon Stick,Jam Jar,Dali & Gala (Mumbai)
Monsoon Smash 6468,Twisted Classics,"Rum, Saffron, Ginger Ale, Lime Juice","Combine Rum, Saffron, and Ginger Ale in a shaker with ice. Shake well and strain into a Jam Jar. Top with Rose Petals.",Rose Petals,Jam Jar,Izumi (Hyderabad)
Coastal Fizz 6469,Tropical,"Whisky, Cardamom, Cranberry Juice, Lime Juice","Combine Whisky, Cardamom, and Cranberry Juice in a shaker with ice. Shake well and strain into a Highball. Top with Cinnamon Stick.",Cinnamon Stick,Highball,Avartana (Hyderabad)
Sunrise Fizz 6470,South Inspired,"Mezcal, Filter Kaapi, Ginger Ale, Lime Juice","Combine Mezcal, Filter Kaapi, and Ginger Ale in a shaker with ice. Shake well and strain into a Copper Mug. Top with Pineapple Wedge.",Pineapple Wedge,Copper Mug,RÜ (Gurgaon)
Sunrise Smash 6471,Signature,"Whisky, Tamarind, Cranberry Juice, Lime Juice","Combine Whisky, Tamarind, and Cranberry Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Orange Twist.",Orange Twist,Copper Mug,Hideaway (Chennai)
Ruby Sour 6472,Signature,"Tequila, Jaljeera, Coconut Water, Lime Juice","Combine Tequila, Jaljeera, and Coconut Water in a shaker with ice. Shake well and strain into a Wine Glass. Top with Orange Twist.",Orange Twist,Wine Glass,Native (Delhi)
Desi Martini 6473,Himalayan Flavors,"Vodka, Kokum, Agave Nectar, Lime Juice","Combine Vodka, Kokum, and Agave Nectar in a shaker with ice. Shake well and strain into a Coupe. Top with Rose Petals.",Rose Petals,Coupe,Dali & Gala (Hyderabad)
Coastal Sour 6474,Twisted Classics,"Mezcal, Himalayan Honey, Pineapple Juice, Lime Juice","Combine Mezcal, Himalayan Honey, and Pineapple Juice in a shaker with ice. Shake well and strain into a Highball. Top with Pineapple Wedge.",Pineapple Wedge,Highball,Petisco (Bangalore)
Sunset Mule 6475,Himalayan Flavors,"Vodka, Jaljeera, Cranberry Juice, Lime Juice","Combine Vodka, Jaljeera, and Cranberry Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Lime Wheel.",Lime Wheel,Wine Glass,Slow Tide (Goa)
Monsoon Mojito 6476,Tropical,"Brandy, Cardamom, Pineapple Juice, Lime Juice","Combine Brandy, Cardamom, and Pineapple Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Orange Twist.",Orange Twist,Copper Mug,The Bombay Canteen (Gurgaon)
Temple Smash 6477,Savory & Bold,"Whisky, Masala Chai, Coconut Water, Lime Juice","Combine Whisky, Masala Chai, and Coconut Water in a shaker with ice. Shake well and strain into a Highball. Top with Lemon Peel.",Lemon Peel,Highball,Sidecar (Noida)
Desi Mojito 6478,Signature,"Vodka, Black Salt, Sugar Syrup, Lime Juice","Combine Vodka, Black Salt, and Sugar Syrup in a shaker with ice. Shake well and strain into a Martini Glass. Top with Lime Wheel.",Lime Wheel,Martini Glass,Soy Como Soy (Chennai)
Ruby Sling 6479,Himalayan Flavors,"Rum, Cumin, Sugar Syrup, Lime Juice","Combine Rum, Cumin, and Sugar Syrup in a shaker with ice. Shake well and strain into a Highball. Top with Mint Sprig.",Mint Sprig,Highball,Pandan Club (Delhi)
Sunrise Punch 6480,Twisted Classics,"Rum, Indian Lime Pickle, Coconut Water, Lime Juice","Combine Rum, Indian Lime Pickle, and Coconut Water in a shaker with ice. Shake well and strain into a Jam Jar. Top with Mint Sprig.",Mint Sprig,Jam Jar,BrewDog (Bangalore)
Royal Tonic 6481,Tropical,"Mezcal, Himalayan Honey, Coconut Water, Lime Juice","Combine Mezcal, Himalayan Honey, and Coconut Water in a shaker with ice. Shake well and strain into a Wine Glass. Top with Lemon Peel.",Lemon Peel,Wine Glass,Jamming Goat (Bangalore)
Royal Smash 6482,Savory & Bold,"Mezcal, Jaggery, Pineapple Juice, Lime Juice","Combine Mezcal, Jaggery, and Pineapple Juice in a shaker with ice. Shake well and strain into a Martini Glass. Top with Curry Leaf.",Curry Leaf,Martini Glass,AM PM (Bangalore)
Golden Tonic 6483,Signature,"Whisky, Aam Panna, Tonic Water, Lime Juice","Combine Whisky, Aam Panna, and Tonic Water in a shaker with ice. Shake well and strain into a Highball. Top with Lemon Peel.",Lemon Peel,Highball,Hoots (Hyderabad)
Rustic Smash 6484,Savory & Bold,"Mezcal, Rose Syrup, Sugar Syrup, Lime Juice","Combine Mezcal, Rose Syrup, and Sugar Syrup in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Rose Petals.",Rose Petals,Rocks Glass,Slow Tide (Hyderabad)
Emerald Sour 6485,Tropical,"Gin, Indian Lime Pickle, Coconut Water, Lime Juice","Combine Gin, Indian Lime Pickle, and Coconut Water in a shaker with ice. Shake well and strain into a Highball. Top with Pineapple Wedge.",Pineapple Wedge,Highball,Roxie (Delhi)
Urban Mojito 6486,Himalayan Flavors,"Tequila, Ginger, Lime Juice, Lime Juice","Combine Tequila, Ginger, and Lime Juice in a shaker with ice. Shake well and strain into a Martini Glass. Top with Curry Leaf.",Curry Leaf,Martini Glass,Cal-On (Pune)
Urban Fizz 6487,South Inspired,"Mezcal, Curry Leaves, Sugar Syrup, Lime Juice","Combine Mezcal, Curry Leaves, and Sugar Syrup in a shaker with ice. Shake well and strain into a Copper Mug. Top with Lemon Peel.",Lemon Peel,Copper Mug,Conversation Room (Mumbai)
Sunrise Collins 6488,Signature,"Vodka, Jaljeera, Agave Nectar, Lime Juice","Combine Vodka, Jaljeera, and Agave Nectar in a shaker with ice. Shake well and strain into a Highball. Top with Lime Wheel.",Lime Wheel,Highball,Olterra (Bangalore)
Rustic Martini 6489,Himalayan Flavors,"Mezcal, Indian Lime Pickle, Cranberry Juice, Lime Juice","Combine Mezcal, Indian Lime Pickle, and Cranberry Juice in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Lemon Peel.",Lemon Peel,Rocks Glass,Nutcase Etc (Pune)
Sunrise Tonic 6490,Tropical,"Mezcal, Indian Lime Pickle, Lime Juice, Lime Juice","Combine Mezcal, Indian Lime Pickle, and Lime Juice in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Lemon Peel.",Lemon Peel,Tiki Glass,Sorano (Gurgaon)
Spicy Mule 6491,The Icons,"Vodka, Rose Syrup, Soda, Lime Juice","Combine Vodka, Rose Syrup, and Soda in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Lime Wheel.",Lime Wheel,Rocks Glass,BrewDog (Hyderabad)
Midnight Punch 6492,Himalayan Flavors,"Whisky, Ginger, Coconut Water, Lime Juice","Combine Whisky, Ginger, and Coconut Water in a shaker with ice. Shake well and strain into a Martini Glass. Top with Rose Petals.",Rose Petals,Martini Glass,Roxie (Noida)
Monsoon Collins 6493,Tropical,"Mezcal, Jaggery, Sugar Syrup, Lime Juice","Combine Mezcal, Jaggery, and Sugar Syrup in a shaker with ice. Shake well and strain into a Martini Glass. Top with Lime Wheel.",Lime Wheel,Martini Glass,Bar Tesouro (Noida)
Desi Smash 6494,Tropical,"Tequila, Curry Leaves, Soda, Lime Juice","Combine Tequila, Curry Leaves, and Soda in a shaker with ice. Shake well and strain into a Copper Mug. Top with Lime Wheel.",Lime Wheel,Copper Mug,ZLB 23 (Bangalore)
Sunrise Collins 6495,South Inspired,"Gin, Indian Lime Pickle, Agave Nectar, Lime Juice","Combine Gin, Indian Lime Pickle, and Agave Nectar in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Dried Chilli.",Dried Chilli,Tiki Glass,Room Two (Noida)
Golden Collins 6496,Himalayan Flavors,"Rum, Ginger, Coconut Water, Lime Juice","Combine Rum, Ginger, and Coconut Water in a shaker with ice. Shake well and strain into a Wine Glass. Top with Cinnamon Stick.",Cinnamon Stick,Wine Glass,Hoots (Chennai)
Sunrise Mule 6497,Signature,"Rum, Tamarind, Sugar Syrup, Lime Juice","Combine Rum, Tamarind, and Sugar Syrup in a shaker with ice. Shake well and strain into a Highball. Top with Rose Petals.",Rose Petals,Highball,The Library Bar (Hyderabad)
Ruby Mule 6498,Himalayan Flavors,"Whisky, Betel Leaf, Orange Juice, Lime Juice","Combine Whisky, Betel Leaf, and Orange Juice in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Pineapple Wedge.",Pineapple Wedge,Tiki Glass,Ekaa (Goa)
Emerald Sour 6499,South Inspired,"Whisky, Indian Lime Pickle, Agave Nectar, Lime Juice","Combine Whisky, Indian Lime Pickle, and Agave Nectar in a shaker with ice. Shake well and strain into a Wine Glass. Top with Coffee Beans.",Coffee Beans,Wine Glass,Windmills (Mumbai)
Silver Fizz 6500,Twisted Classics,"Tequila, Saffron, Sugar Syrup, Lime Juice","Combine Tequila, Saffron, and Sugar Syrup in a shaker with ice. Shake well and strain into a Copper Mug. Top with Pineapple Wedge.",Pineapple Wedge,Copper Mug,Bar Tesouro (Goa)
Rustic Sour 6501,South Inspired,"Whisky, Ginger, Lime Juice, Lime Juice","Combine Whisky, Ginger, and Lime Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Orange Twist.",Orange Twist,Jam Jar,The Glass Onion (Chennai)
Spicy Tonic 6502,Twisted Classics,"Tequila, Cardamom, Cranberry Juice, Lime Juice","Combine Tequila, Cardamom, and Cranberry Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Curry Leaf.",Curry Leaf,Wine Glass,The Glass Onion (Chennai)
Masala Sour 6503,South Inspired,"Vodka, Black Salt, Orange Juice, Lime Juice","Combine Vodka, Black Salt, and Orange Juice in a shaker with ice. Shake well and strain into a Highball. Top with Mint Sprig.",Mint Sprig,Highball,Slow Tide (Hyderabad)
Rustic Tonic 6504,Twisted Classics,"Rum, Cardamom, Orange Juice, Lime Juice","Combine Rum, Cardamom, and Orange Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Pineapple Wedge.",Pineapple Wedge,Jam Jar,Pandan Club (Chennai)
Sunset Collins 6505,Signature,"Rum, Masala Chai, Orange Juice, Lime Juice","Combine Rum, Masala Chai, and Orange Juice in a shaker with ice. Shake well and strain into a Martini Glass. Top with Lime Wheel.",Lime Wheel,Martini Glass,Elephant & Co (Mumbai)
Spicy Martini 6506,Twisted Classics,"Mezcal, Filter Kaapi, Agave Nectar, Lime Juice","Combine Mezcal, Filter Kaapi, and Agave Nectar in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Curry Leaf.",Curry Leaf,Rocks Glass,RÜ (Hyderabad)
Royal Sling 6507,Himalayan Flavors,"Tequila, Curry Leaves, Lime Juice, Lime Juice","Combine Tequila, Curry Leaves, and Lime Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Orange Twist.",Orange Twist,Coupe,Dali & Gala (Hyderabad)
Coastal Martini 6508,South Inspired,"Gin, Aam Panna, Agave Nectar, Lime Juice","Combine Gin, Aam Panna, and Agave Nectar in a shaker with ice. Shake well and strain into a Wine Glass. Top with Curry Leaf.",Curry Leaf,Wine Glass,Bar Tesouro (Pune)
Midnight Mule 6509,South Inspired,"Gin, Tamarind, Sugar Syrup, Lime Juice","Combine Gin, Tamarind, and Sugar Syrup in a shaker with ice. Shake well and strain into a Coupe. Top with Lime Wheel.",Lime Wheel,Coupe,Petisco (Pune)
Jungle Punch 6510,Savory & Bold,"Brandy, Rose Syrup, Agave Nectar, Lime Juice","Combine Brandy, Rose Syrup, and Agave Nectar in a shaker with ice. Shake well and strain into a Wine Glass. Top with Lemon Peel.",Lemon Peel,Wine Glass,Bar Tesouro (Mumbai)
Jungle Fizz 6511,Signature,"Whisky, Saffron, Orange Juice, Lime Juice","Combine Whisky, Saffron, and Orange Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Rose Petals.",Rose Petals,Coupe,PCO (Kolkata)
Masala Sour 6512,Signature,"Tequila, Black Salt, Pineapple Juice, Lime Juice","Combine Tequila, Black Salt, and Pineapple Juice in a shaker with ice. Shake well and strain into a Highball. Top with Lime Wheel.",Lime Wheel,Highball,BrewDog (Gurgaon)
Jungle Fizz 6513,Himalayan Flavors,"Rum, Cardamom, Ginger Ale, Lime Juice","Combine Rum, Cardamom, and Ginger Ale in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Lime Wheel.",Lime Wheel,Rocks Glass,AM PM (Hyderabad)
Golden Smash 6514,Twisted Classics,"Whisky, Jaggery, Cranberry Juice, Lime Juice","Combine Whisky, Jaggery, and Cranberry Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Rose Petals.",Rose Petals,Copper Mug,Ekaa (Pune)
Urban Punch 6515,The Icons,"Vodka, Aam Panna, Sugar Syrup, Lime Juice","Combine Vodka, Aam Panna, and Sugar Syrup in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Lemon Peel.",Lemon Peel,Rocks Glass,AM PM (Noida)
Sunrise Fizz 6516,Savory & Bold,"Vodka, Jaggery, Pineapple Juice, Lime Juice","Combine Vodka, Jaggery, and Pineapple Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Lemon Peel.",Lemon Peel,Coupe,PCO (Bangalore)
Coastal Mule 6517,Twisted Classics,"Brandy, Filter Kaapi, Soda, Lime Juice","Combine Brandy, Filter Kaapi, and Soda in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Lemon Peel.",Lemon Peel,Rocks Glass,The Beer Cafe (Delhi)
Ruby Fizz 6518,Twisted Classics,"Gin, Himalayan Honey, Pineapple Juice, Lime Juice","Combine Gin, Himalayan Honey, and Pineapple Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Orange Twist.",Orange Twist,Wine Glass,TOIT (Gurgaon)
Silver Sling 6519,Signature,"Whisky, Himalayan Honey, Cranberry Juice, Lime Juice","Combine Whisky, Himalayan Honey, and Cranberry Juice in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Lime Wheel.",Lime Wheel,Tiki Glass,Bar Tesouro (Mumbai)
Masala Collins 6520,Twisted Classics,"Gin, Filter Kaapi, Agave Nectar, Lime Juice","Combine Gin, Filter Kaapi, and Agave Nectar in a shaker with ice. Shake well and strain into a Wine Glass. Top with Dried Chilli.",Dried Chilli,Wine Glass,Monkey Bar (Hyderabad)
Royal Collins 6521,The Icons,"Whisky, Black Salt, Soda, Lime Juice","Combine Whisky, Black Salt, and Soda in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Cinnamon Stick.",Cinnamon Stick,Tiki Glass,Social (Gurgaon)
Sunrise Tonic 6522,Twisted Classics,"Tequila, Jaljeera, Sugar Syrup, Lime Juice","Combine Tequila, Jaljeera, and Sugar Syrup in a shaker with ice. Shake well and strain into a Copper Mug. Top with Lemon Peel.",Lemon Peel,Copper Mug,RÜ (Hyderabad)
